,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
0,Dosedel S.,0,58,1475.9902264990772,5,1472.077199590213,1,1483.9970171902814,0,1500.0,25,1501.5050955723536,23,1418.6373248977281,4,1517.0470738733331
1,Enqvist T.,249,252,1698.1114517860349,51,1602.8461982635383,21,1542.632559027209,0,1500.0,111,1639.573594581869,47,1559.068607626833,22,1550.6690769175498
2,Escude N.,0,187,1623.1535106772258,35,1614.940692816641,25,1506.6032599261882,0,1500.0,71,1626.6939884328963,28,1442.6236295661715,28,1624.1596656436236
3,Federer R.,6020,1442,1986.2833421944488,251,1882.9858366954772,60,1678.9534095579247,0,1500.0,638,2065.5454679331756,280,1819.657570082434,213,1983.2673245926546
4,Fromberg R.,0,49,1463.5096912394174,3,1488.676371154709,0,1500.0,0,1500.0,23,1517.6866157954807,19,1402.539976725281,4,1514.484035653115
5,Gambill J.M.,214,278,1577.6471009347515,53,1541.9719748681023,11,1463.3434915061778,0,1500.0,151,1570.7477259476577,30,1417.288308080419,33,1547.4652146382746
6,Grosjean S.,935,456,1812.5935043170475,83,1674.338688550453,36,1612.5546531310742,0,1500.0,176,1603.5394720435854,99,1648.9796055736485,62,1641.1729242609786
7,Henman T.,875,425,1827.794327149323,63,1704.7613737956688,37,1659.05746880803,0,1500.0,188,1735.0101253184657,77,1586.5977435037323,60,1739.8285460826276
8,Hewitt L.,580,727,1900.511043313486,75,1738.5356663659893,13,1593.7227192881437,0,1500.0,387,1815.7688877475123,118,1743.9877305858602,134,1749.84285495354
9,Lisnard J.,393,28,1456.2991914456272,5,1451.3814618752983,0,1500.0,0,1500.0,7,1467.0251812428157,16,1486.2623411766817,0,1500.0
