,P1==Winner
186,False
187,False
188,False
189,False
190,True
191,True
192,True
193,True
194,True
195,True
196,False
197,False
198,True
199,True
200,False
201,False
202,True
203,True
204,False
205,False
206,True
207,True
208,False
209,True
210,True
211,False
212,False
213,True
214,True
215,False
216,False
217,True
218,False
219,False
220,False
221,False
222,True
223,True
224,False
225,False
226,True
227,True
228,False
229,False
230,True
231,True
233,True
234,False
235,False
236,True
237,True
238,False
240,False
241,True
242,False
243,True
244,True
246,False
247,False
248,True
249,False
250,True
251,True
252,True
253,True
254,True
256,True
257,True
258,False
259,True
260,True
261,True
262,True
263,False
264,False
265,True
266,True
267,True
268,True
269,False
270,False
271,True
272,False
273,False
274,False
275,True
276,False
277,False
278,False
310,False
311,True
312,True
313,True
314,True
315,False
316,True
317,True
318,True
319,False
320,True
321,False
322,False
323,True
324,False
325,False
326,False
327,True
328,False
329,True
330,False
331,False
332,False
333,True
334,True
335,False
336,True
337,True
338,False
339,True
340,True
341,False
342,False
343,False
344,False
345,True
346,True
347,True
348,False
349,True
350,True
352,False
353,True
354,True
355,True
356,True
357,True
358,False
359,False
360,False
361,True
362,True
363,False
364,False
365,False
366,False
367,False
368,True
369,True
370,False
371,True
372,True
373,False
374,True
375,False
376,True
377,False
378,True
379,True
380,False
381,True
382,True
383,True
384,False
385,False
386,True
387,False
388,False
389,False
390,False
391,True
392,True
393,False
394,True
395,True
396,True
397,True
398,False
399,False
400,True
401,True
402,True
403,True
404,True
405,True
406,True
407,False
408,True
409,False
410,True
411,False
412,False
413,True
414,True
415,True
416,False
417,False
418,False
419,False
420,True
421,True
422,False
423,True
424,True
425,False
426,True
427,True
428,True
429,True
430,True
431,False
432,False
433,True
434,True
435,False
436,True
437,True
438,True
439,True
440,True
441,True
442,False
443,False
444,True
445,False
446,False
447,True
448,False
450,False
451,False
452,False
453,False
454,True
455,False
456,True
457,True
458,True
459,True
460,False
461,False
462,False
463,False
464,True
465,False
466,True
467,False
468,True
469,True
470,True
471,False
472,False
473,False
474,True
475,False
476,False
477,True
478,False
479,True
480,False
481,False
482,True
483,True
484,False
485,False
486,True
487,False
488,False
489,True
490,True
491,True
492,True
493,True
494,False
495,False
496,True
497,False
498,True
499,False
500,False
501,True
502,True
503,False
504,False
505,True
506,False
507,False
508,False
509,True
510,False
511,True
512,True
513,True
514,False
515,False
516,False
517,False
518,True
519,True
520,False
521,False
522,False
523,True
524,True
525,False
526,False
527,True
528,False
529,False
530,False
531,True
532,False
533,True
534,True
535,False
536,True
537,True
538,False
539,False
540,False
541,True
542,True
543,True
544,False
545,True
546,True
547,True
548,False
549,False
550,False
551,False
552,True
553,True
554,False
555,False
556,True
557,False
558,False
559,False
560,False
561,True
562,True
563,True
564,True
565,True
566,False
567,True
568,False
569,False
570,True
571,False
572,False
573,False
574,False
575,False
576,False
577,True
578,False
579,False
580,False
581,False
582,True
583,True
584,True
585,True
586,True
587,False
588,True
589,False
590,True
591,True
592,False
593,False
594,False
595,True
596,True
597,False
598,False
599,False
600,True
601,False
602,False
603,True
604,True
605,True
606,True
607,True
608,False
609,False
610,False
611,False
612,False
613,True
614,False
615,False
616,True
617,True
618,True
619,True
620,True
621,False
622,False
623,False
624,True
625,True
626,True
627,False
628,False
629,True
630,True
631,True
632,False
633,False
634,True
635,True
636,False
637,False
638,True
639,False
640,False
641,False
642,False
643,True
644,False
645,True
646,True
647,True
648,True
649,False
650,True
651,True
652,False
653,False
654,True
655,True
656,True
657,True
658,True
659,False
660,False
661,False
662,True
663,True
664,False
665,True
666,False
667,True
668,False
669,False
670,True
671,True
672,False
673,False
674,False
675,False
676,False
677,True
678,False
679,True
680,True
681,True
682,True
683,False
