,Player,pts,match_count,elo
0,Dosedel S.,0,58,1475.9700686368083
1,Enqvist T.,249,252,1698.1081064604693
2,Escude N.,0,187,1623.1404480121073
3,Federer R.,6020,1442,1986.2782163747822
4,Fromberg R.,0,49,1463.4667559023374
5,Gambill J.M.,214,278,1577.6439914466891
6,Grosjean S.,935,456,1812.5930229934152
7,Henman T.,875,425,1827.7923321222893
8,Hewitt L.,580,727,1900.5146435741497
9,Lisnard J.,393,28,1456.2726185251215
10,Martin A.,465,457,1465.316601721458
11,Norman M.,0,184,1666.4141828657416
12,Petrovic D.,362,13,1446.0884154974872
13,Sekulov J.,0,12,1435.3488669460132
14,Stoltenberg J.,0,49,1548.8535921597577
15,Vinck C.,0,36,1406.0890358074128
16,Clement A.,845,508,1632.8745454134744
17,Goldstein P.,550,165,1476.3175701164025
18,Haas T.,1740,691,1789.8548023927685
19,Johansson T.,560,376,1793.2680532953684
20,Ljubicic I.,2395,650,1756.220371237713
21,Malisse X.,910,516,1622.4771237924263
22,Massu N.,825,432,1570.0788080148852
23,Pavel A.,685,364,1662.6778086666914
24,Phau B.,526,211,1514.4039918458313
25,Rochus C.,561,320,1461.614894813559
26,Tarango J.,0,44,1364.5009423287136
27,Arazi H.,0,220,1709.5954241604184
28,Carlsen K.,560,191,1617.7127795711679
29,Chela J.I.,910,571,1524.6923980675367
30,Draper S.,0,54,1527.7496036466878
31,Golmard J.,0,142,1597.4592016116878
32,Llodra M.,390,397,1637.4782552239085
33,Martin T.,0,140,1672.8285131987514
34,Mathieu P.H.,723,561,1614.712527173073
35,Philippoussis M.,223,222,1644.8120838911527
36,Rusedski G.,828,276,1630.4945052876658
37,Schalken S.,195,301,1711.6726685460758
38,Davydenko N.,2735,794,1811.152399049461
39,Kim A.,0,32,1397.2210887480178
40,Spadea V.,495,369,1565.1230632720406
41,Vahaly B.,246,64,1424.2497247399563
42,Voinea A.,0,116,1467.0536176055127
43,Zabaleta M.,94,298,1473.993693319881
44,Dupuis A.,363,193,1459.2563953097988
