,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
0,Dosedel S.,0,58,1475.9700686368085,5,1472.0754320582944,1,1483.9970171902814,0,1500.0,25,1501.5097307095857,23,1418.612303315121,4,1517.0470738733331
1,Enqvist T.,249,252,1698.1081064604691,51,1602.8896550243737,21,1542.632559027209,0,1500.0,111,1639.5710705040403,47,1559.033622120506,22,1550.6690769175498
2,Escude N.,0,187,1623.1404480121073,35,1614.928737216682,25,1506.6032599261882,0,1500.0,71,1626.6732841143048,28,1442.5970689162702,28,1624.1596656436236
3,Federer R.,6020,1442,1986.2782163747825,251,1883.6794899937902,60,1678.9534095579247,0,1500.0,638,2065.5830881886477,280,1819.5597707980319,213,1983.2673245926546
4,Fromberg R.,0,49,1463.4667559023374,3,1488.676371154709,0,1500.0,0,1500.0,23,1517.6878454682258,19,1402.5282134529289,4,1514.484035653115
5,Gambill J.M.,214,278,1577.6439914466891,53,1541.9982808248749,11,1463.3434915061778,0,1500.0,151,1570.7481711436121,30,1417.2504201457225,33,1547.4652146382746
6,Grosjean S.,935,456,1812.5930229934152,83,1674.3549736158145,36,1612.5546531310742,0,1500.0,176,1603.5315362824927,99,1648.9203050012998,62,1641.1729242609786
7,Henman T.,875,425,1827.7923321222893,63,1704.7972486947335,37,1659.05746880803,0,1500.0,188,1735.0208076385175,77,1586.5417357430847,60,1739.8285460826276
8,Hewitt L.,580,727,1900.5146435741497,75,1738.635979359091,13,1593.7227192881437,0,1500.0,387,1815.7848593230165,118,1743.9086056393444,134,1749.84285495354
9,Lisnard J.,393,28,1456.2726185251215,5,1451.3857126773403,0,1500.0,0,1500.0,7,1467.0193419715154,16,1486.2512413116592,0,1500.0
10,Martin A.,465,457,1465.316601721458,28,1393.4008718893024,6,1450.452201139725,3,1483.3298825921897,120,1414.7245809616659,282,1617.7528934038285,18,1420.849387309693
11,Norman M.,0,184,1666.4141828657416,24,1504.6512346664576,1,1485.4359939471449,0,1500.0,84,1715.7757990545163,73,1613.3526104073808,2,1501.6253458792619
12,Petrovic D.,362,13,1446.0884154974872,1,1484.0,0,1500.0,0,1500.0,4,1464.5060144479448,4,1505.5394053240573,4,1471.9455557016283
13,Sekulov J.,0,12,1435.3488669460132,2,1465.8077788118676,0,1500.0,0,1500.0,8,1485.6522921217856,1,1485.2863046869757,1,1484.4954974252885
14,Stoltenberg J.,0,49,1548.8535921597577,3,1516.0693888049245,0,1500.0,0,1500.0,29,1512.2470808566918,10,1563.962199658839,7,1518.2687881572035
15,Vinck C.,0,36,1406.0890358074128,6,1459.1759567346783,2,1470.1715379337338,0,1500.0,10,1450.3404296329566,10,1437.2626969708303,8,1504.1583451025408
16,Clement A.,845,508,1632.8745454134744,87,1555.4802365757246,56,1518.2117289633418,0,1500.0,204,1707.8349195073515,80,1470.6736644552402,81,1602.2652938806905
17,Goldstein P.,550,165,1476.3175701164023,22,1439.917962270372,5,1490.8568138029732,0,1500.0,95,1462.7892249991673,26,1446.0543586041144,17,1505.7434230392835
18,Haas T.,1740,691,1789.8548023927683,123,1654.3635299465664,30,1616.3916326947178,3,1515.5462039900763,304,1702.2690520053618,159,1625.5679841131512,72,1587.626253432501
19,Johansson T.,560,376,1793.2680532953684,67,1690.1735372461021,37,1600.290080459029,0,1500.0,162,1660.911911839772,54,1454.1727731254562,56,1648.0460689439565
20,Ljubicic I.,2395,650,1756.220371237713,140,1672.7100979400675,69,1614.8586421765863,0,1500.0,234,1714.7230054548577,157,1619.5895340725453,50,1504.955503318799
21,Malisse X.,910,516,1622.4771237924265,68,1434.9986830055454,33,1557.2734187773033,0,1500.0,245,1583.021426156058,91,1526.9248196299027,79,1679.1098371091675
22,Massu N.,825,432,1570.0788080148852,31,1448.2635553105943,17,1469.4495457546602,0,1500.0,123,1588.2833794280818,244,1727.155550382004,17,1452.694227194453
23,Pavel A.,685,364,1662.6778086666914,46,1558.3101012267543,31,1518.1242232502161,0,1500.0,121,1586.6602342479339,131,1587.1819580784634,35,1492.8948446554791
24,Phau B.,526,211,1514.4039918458311,34,1484.7578529131242,3,1455.8738410624323,0,1500.0,103,1544.631971599146,57,1450.3277678824484,14,1371.7730711662225
25,Rochus C.,561,320,1461.614894813559,41,1392.5034789361605,17,1440.0581258812542,0,1500.0,87,1335.1326443943904,150,1520.1246456794042,25,1335.5735618709869
26,Tarango J.,0,44,1364.5009423287136,5,1464.0850946540982,1,1486.1468175323346,0,1500.0,17,1334.4997531571055,17,1499.1912003273774,4,1474.036260658938
27,Arazi H.,0,220,1709.5954241604184,21,1505.6616703127347,26,1579.2314855060904,0,1500.0,84,1616.384465679881,66,1442.8713477634572,23,1552.233689193016
28,Carlsen K.,560,191,1617.712779571168,31,1497.408194504269,13,1510.1500112715541,0,1500.0,97,1592.1301902445082,18,1387.8132184084898,32,1507.8572797586044
29,Chela J.I.,910,571,1524.6923980675367,32,1469.0063983031905,12,1418.3293371450404,0,1500.0,202,1664.239157090215,310,1644.5210726533824,15,1424.4250176350258
30,Draper S.,0,54,1527.7496036466878,3,1516.2048819034953,0,1500.0,0,1500.0,32,1514.4458005179179,5,1443.956318937436,14,1467.7794257411238
31,Golmard J.,0,142,1597.4592016116878,12,1511.807782107342,6,1473.6565156989625,0,1500.0,74,1625.2246402524456,38,1575.2144403354696,12,1452.3168626326567
32,Llodra M.,390,397,1637.4782552239085,95,1645.996993047565,27,1449.5320082243752,0,1500.0,144,1416.073666484484,57,1477.178686920916,74,1569.9195178487612
33,Martin T.,0,140,1672.8285131987514,13,1510.1243367057318,0,1500.0,0,1500.0,76,1651.1475311350994,28,1459.0122486193009,23,1580.1553962219427
34,Mathieu P.H.,723,561,1614.712527173073,95,1505.3523632923254,48,1514.9975100393203,1,1484.4278483642488,155,1519.8029497389457,209,1652.040108142068,53,1492.7651057475287
35,Philippoussis M.,223,222,1644.8120838911527,31,1530.2765605400887,11,1535.3012120047965,0,1500.0,109,1607.9076696375873,26,1519.535980153061,45,1734.400643929004
36,Rusedski G.,828,276,1630.4945052876658,38,1537.2548044466496,29,1572.6302708343578,0,1500.0,125,1607.043633473608,26,1403.7127054746338,58,1721.186689872741
37,Schalken S.,195,301,1711.6726685460758,37,1560.4364505356777,21,1532.0304413540669,0,1500.0,134,1716.978496622844,60,1582.9216614980628,49,1683.9229936527172
38,Davydenko N.,2735,794,1811.152399049461,130,1694.469417632661,57,1664.0123273365828,0,1500.0,286,1740.4566255170357,293,1602.8734335724087,28,1445.2437848444629
39,Kim A.,0,32,1397.2210887480178,1,1482.76914038414,0,1500.0,0,1500.0,24,1421.5111440024452,4,1439.360757644908,3,1483.761755028208
40,Spadea V.,495,369,1565.1230632720406,50,1487.075535287687,22,1477.5026540985068,0,1500.0,185,1558.7372037093899,65,1469.536959406247,47,1568.0027563459807
41,Vahaly B.,246,64,1424.2497247399565,11,1471.9726700087201,0,1500.0,0,1500.0,36,1457.604726006465,7,1435.1972753260509,10,1445.920196221288
42,Voinea A.,0,116,1467.0536176055127,14,1442.0689049827085,4,1472.6434290568632,0,1500.0,39,1542.5886742726543,48,1463.0950864685983,11,1458.1381536149315
43,Zabaleta M.,94,298,1473.993693319881,14,1453.208168614923,5,1456.7990259972883,0,1500.0,88,1494.5859527928617,186,1616.7959054649777,5,1433.6900920894784
44,Dupuis A.,363,193,1459.2563953097988,26,1443.8825369939896,13,1474.1743478904355,0,1500.0,58,1499.4614158792672,57,1408.2645588594842,39,1510.8590856378091
45,Mirnyi M.,695,403,1675.6240071208615,66,1611.4514490668519,49,1524.9141939468518,0,1500.0,155,1613.4009019529708,82,1451.546477658104,51,1581.7512551724776
46,Parmar A.,152,37,1420.869888717698,4,1503.2561470598932,1,1482.8816190767036,0,1500.0,7,1438.1755895094745,0,1500.0,25,1463.1684107039016
47,Verkerk M.,136,118,1578.2037647839682,6,1412.8266079888763,12,1569.0554478734323,0,1500.0,37,1506.7772105749946,54,1583.292589765568,9,1458.557777243383
48,Vliegen K.,950,197,1541.4206313038876,29,1491.2918306911936,13,1489.6126184281732,0,1500.0,55,1412.8122144268436,73,1490.663380036468,27,1450.8718869455947
49,Gasquet R.,703,981,1757.742802084092,208,1639.65664123691,19,1602.1160563245248,0,1500.0,373,1717.4775308601759,267,1607.8786828074124,114,1646.189783185763
50,Krajicek R.,0,75,1707.180201708834,7,1535.034978535833,5,1518.009971184516,0,1500.0,31,1619.3080463122935,13,1538.8914915453313,19,1579.8819055829135
51,Squillari F.,0,196,1514.4435847534132,4,1476.2968345929814,6,1446.618924646996,0,1500.0,48,1501.494524365382,134,1616.7076916255276,4,1437.4970190370097
52,Dent T.,995,282,1653.1461297416604,51,1557.2831129124797,10,1534.935730995829,0,1500.0,153,1616.2599996936046,16,1420.258333200246,52,1576.1542347583859
53,Beck K.,781,170,1510.1494322071665,31,1412.1262161580476,15,1546.329679647076,0,1500.0,71,1486.3990155440567,22,1338.313426630508,31,1452.737673114105
54,Nieminen J.,1340,697,1619.6243767208712,165,1534.5827955730686,30,1502.6779292455449,0,1500.0,262,1547.3139470978126,185,1624.1398821391394,55,1518.4901453018676
55,Arthurs W.,203,241,1484.4200643693632,31,1451.3445981242255,5,1482.310679684713,0,1500.0,112,1514.5164526907045,44,1419.4613342830896,49,1549.727065512619
56,Sanguinetti D.,789,281,1549.8621300653524,52,1551.1974114243342,25,1399.77716071375,0,1500.0,102,1515.999511586518,62,1455.2971176562912,40,1456.007532689076
57,Lapentti N.,493,369,1608.6720943903165,17,1498.1172513097902,26,1480.5815540110727,0,1500.0,125,1571.2615033809952,183,1757.0325554459262,18,1478.5601381868973
58,Hrbaty D.,1003,454,1746.6173387571928,62,1627.2872645234079,46,1583.8311168697899,0,1500.0,202,1609.6681419153156,124,1475.6744799614648,20,1432.6795070249736
59,Saulnier C.,545,182,1620.189536166284,34,1496.8488981307885,22,1541.5413484220583,0,1500.0,82,1533.9200476155015,20,1400.649350003133,24,1488.9699585917228
60,Sluiter R.,468,197,1555.0881395960575,33,1505.0940833200466,9,1490.6960518226392,0,1500.0,47,1394.3899907651073,63,1514.6516270235945,45,1549.1906667798537
61,Reid T.,0,35,1480.0606298026366,1,1483.9633118722472,0,1500.0,0,1500.0,25,1495.1310428035072,1,1483.9895459891845,8,1466.2258620344066
62,Melzer J.,88,630,1647.12831611164,119,1603.511183391821,13,1468.0521140632372,0,1500.0,207,1616.5009996829008,221,1643.6938963498399,70,1620.7999222468547
63,Rochus O.,880,475,1624.1034663266696,82,1537.0740812667243,24,1504.3492767770472,0,1500.0,151,1478.8870977784413,138,1501.1723270684165,80,1569.7049897390116
64,Mayer F.,768,477,1558.2286411105033,60,1454.7022063710156,8,1475.6630163139484,0,1500.0,168,1649.202767529057,176,1689.0639550493438,65,1629.1540658048038
65,Kiefer N.,1245,400,1667.9786247729537,41,1538.8975063623395,29,1553.9552935110994,0,1500.0,201,1682.06247103781,76,1583.3969041864807,53,1553.8593662774124
66,Benneteau J.,634,560,1764.4825094742257,127,1659.6961614075483,28,1551.2895007951884,0,1500.0,222,1535.956493087937,109,1492.0091227640548,74,1516.896236515847
67,Stepanek R.,1580,640,1757.722045415935,113,1617.6531335286895,37,1610.073669843985,0,1500.0,255,1614.959947124193,163,1663.2112501606105,72,1585.6869958326172
68,Johansson J.,127,121,1657.754973132304,48,1596.3381427962881,6,1534.0858166080702,0,1500.0,42,1614.357451627607,13,1395.9135707750336,12,1521.10326979142
69,Calleri A.,988,375,1529.724365796966,26,1461.9924919939676,14,1468.6863767380078,0,1500.0,111,1565.0763748247202,210,1646.953805378487,14,1443.9556351410845
70,Lisnard J.R.,365,89,1482.092148925139,10,1493.4418251196955,2,1497.3663687598305,0,1500.0,36,1447.9870033425789,36,1451.6594807885351,5,1466.4322491096775
71,Delic A.,461,76,1407.8000357479762,6,1451.3248223027765,1,1484.0,0,1500.0,54,1464.0041255618357,7,1447.5323868686705,8,1462.7338573067354
72,Berdych T.,4620,915,1813.4956690103888,165,1674.699310372732,21,1616.4436083141916,0,1500.0,421,1749.3083538900278,210,1744.400103515446,98,1766.7861250490355
73,Kohlschreiber P.,1080,819,1638.461203115094,132,1560.5807438792315,18,1528.2820042928943,0,1500.0,283,1580.2847918126888,285,1646.8910759761873,101,1556.9133745046324
74,Robredo T.,2175,867,1684.3996323904275,83,1615.3935517850455,35,1508.645957255364,2,1472.1104653549946,313,1600.4920268225865,380,1743.6743547525823,54,1575.4737989485818
75,Ancic M.,1940,314,1723.3509157178878,52,1589.1764745512965,40,1595.0959922018253,0,1500.0,117,1631.4499774067588,55,1658.1731353780367,50,1717.787051839071
76,Seppi A.,513,762,1538.8860320431345,142,1513.907234563784,19,1397.4580837715696,0,1500.0,250,1561.3641866266591,243,1624.2010785704501,108,1597.4625116217233
77,Karlovic I.,1760,695,1692.8039329003766,124,1610.8778188266185,24,1511.6920690684942,0,1500.0,293,1565.4936145938163,136,1569.7629409625983,118,1637.8892058545562
78,Blake J.,2130,573,1732.2417935386138,92,1622.7183434808371,23,1538.6880955230508,0,1500.0,323,1722.6172347580452,79,1497.279641859493,56,1541.5799669183527
79,Serra F.,665,293,1524.3996668705724,40,1467.7552060834225,16,1423.9249108736324,0,1500.0,107,1495.658294503169,104,1564.4242562670022,26,1446.135948037538
80,Murray A.,955,955,1941.9587329244644,165,1866.3096353201163,24,1645.667525225137,0,1500.0,480,1939.868902031854,151,1932.7008695161146,135,1829.6044281152197
81,Luczak P.,586,116,1371.719299950008,8,1458.2002459070095,0,1500.0,0,1500.0,46,1376.6294832386013,54,1387.4156058258209,8,1506.119884840224
82,Jones A.,344,11,1426.363377989819,0,1500.0,0,1500.0,0,1500.0,11,1425.9993393841592,0,1500.0,0,1500.0
83,Guccione C.,471,89,1411.218396787969,10,1485.5722773541956,1,1490.5112199116336,0,1500.0,54,1460.9159841090197,8,1443.2689638276674,16,1416.5612937733981
84,Djokovic N.,3320,1243,2023.4911149384395,193,1945.849969756849,13,1505.9842111205592,0,1500.0,582,2150.3270758130275,327,1945.543434817564,128,2031.6424305714731
85,del Potro J.M.,2435,587,1883.0414012317951,115,1802.8282052274665,13,1556.6295226784537,0,1500.0,295,1861.6336435615094,112,1849.7824575736,52,1697.7127647452487
86,Kunitsyn I.,348,231,1583.168638954853,37,1424.0182783529528,27,1565.0042809773142,0,1500.0,101,1516.6734444397723,29,1405.3615985826755,37,1399.004275664884
87,Simon G.,295,872,1719.8779316547748,216,1656.541390846262,15,1487.762145911566,1,1484.736306793522,294,1658.0911409607615,255,1720.2560354271664,91,1638.9844062839675
88,Querrey S.,2525,678,1631.6499932570937,82,1595.7477115160564,5,1469.415390834174,0,1500.0,367,1614.9291588208794,101,1454.2570144950778,123,1692.931330201818
89,Sirianni J.,315,20,1441.5940729601946,0,1500.0,0,1500.0,0,1500.0,15,1475.3489182315732,0,1500.0,5,1457.1290912066788
90,Russell M.,601,224,1413.3496960932216,33,1463.830324989493,1,1485.4956831243753,0,1500.0,110,1448.7898486879594,47,1364.1878430786387,33,1413.7155306790537
91,Becker B.,525,370,1572.6293579391163,91,1498.4064741653592,6,1501.004179706381,0,1500.0,162,1534.710246404462,45,1367.7923167917868,66,1517.0134943542862
92,Zverev M.,1302,333,1605.4166069397077,72,1508.1396955912041,13,1516.2659439111762,0,1500.0,109,1518.8661561008878,79,1427.502513155184,60,1565.710951197905
93,Korolev E.,447,162,1512.8071834033556,26,1534.1507328512043,8,1438.2413139903674,0,1500.0,61,1523.3649034810699,55,1447.5203213744528,12,1407.159072908225
94,Tsonga J.W.,210,673,1783.7505487338008,184,1695.797374639692,18,1590.2253805435566,0,1500.0,268,1821.0484197512098,131,1756.463325440438,72,1747.98069839305
95,Acasuso J.,1010,359,1540.524357905245,15,1443.2730571402972,12,1457.9813332740912,0,1500.0,91,1522.7326302784375,233,1706.9870484661787,8,1379.545920793784
96,Dancevic F.,484,141,1498.523054627782,15,1494.4600579527093,4,1477.5484131052851,0,1500.0,74,1443.3674329925464,4,1444.925028575648,44,1515.90520009011
97,Gulbis E.,258,453,1679.8666852926046,93,1581.0516911580212,13,1530.0717807210126,0,1500.0,174,1497.1633699581025,134,1519.790968722161,39,1523.495043719114
98,Soderling R.,1063,451,1821.317570912503,116,1741.011454080662,29,1643.9430408017565,0,1500.0,143,1727.3849696776444,120,1806.3573393239324,43,1663.7517157636148
99,Verdasco F.,1545,988,1704.252928321296,137,1623.4844914994892,22,1517.940622065273,4,1501.3063305207002,350,1529.2367683926332,381,1622.7464773004813,94,1563.9900048625263
100,Nishikori K.,3390,617,1827.3845243088188,103,1729.515050723382,0,1500.0,0,1500.0,299,1802.7157132901682,151,1832.1532599675274,64,1705.4547443221654
