,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
33171,False,0.6060391613452673,252,2065,0,0.23522078220584786,0,0.35074658098585665,0,0.30796801962504183,1,0.5415838958822
33171,True,0.39396083865473275,2065,252,0,0.7647792177941521,0,0.6492534190141434,0,0.6920319803749582,1,0.4584161041178
34448,True,0.38911313226127797,830,0,0,0.5414478325055674,0,0.5976846601226674,0,0.4389329679416105,1,0.6075846356369571
33184,False,0.5405251462976117,599,400,0,0.5730866855548499,0,0.3914883658912942,0,0.5147542627337065,1,0.47277130597330386
33183,False,0.7697688056948924,0,550,0,0.4452623549798246,0,0.38975418885928603,0,0.3544260586702107,1,0.3843982576335804
34443,False,0.6395738179670318,74,725,0,0.4153803580747395,0,0.24557909949794066,0,0.5558683488003071,1,0.37394888958551176
34447,False,0.5731837917691005,605,524,0,0.7337260740724167,0,0.25917374941553706,0,0.4680453757286823,1,0.45290706070449505
34448,False,0.610886867738722,0,830,0,0.4585521674944326,0,0.4023153398773326,0,0.5610670320583895,1,0.3924153643630429
33182,True,0.44156846121668325,370,968,0,0.7405233554934392,0,0.4681993880279175,0,0.6204089987801789,1,0.4604036773142523
33184,True,0.4594748537023883,400,599,0,0.4269133144451501,0,0.6085116341087058,0,0.4852457372662935,1,0.5272286940266961
34443,True,0.36042618203296817,725,74,0,0.5846196419252605,0,0.7544209005020593,0,0.4441316511996929,1,0.6260511104144882
33183,True,0.23023119430510763,550,0,0,0.5547376450201754,0,0.610245811140714,0,0.6455739413297893,1,0.6156017423664196
33182,False,0.5584315387833167,968,370,0,0.2594766445065608,0,0.5318006119720825,0,0.37959100121982114,1,0.5395963226857476
33179,False,0.5912477301586435,1645,263,0,0.45091550689035753,0,0.6600254288814128,0,0.40115750264981187,1,0.4437546635611803
34447,True,0.4268162082308995,524,605,0,0.2662739259275832,0,0.7408262505844629,0,0.5319546242713177,1,0.547092939295505
33179,True,0.4087522698413565,263,1645,0,0.5490844931096425,0,0.3399745711185872,0,0.5988424973501881,1,0.5562453364388197
33188,True,0.6113172835810881,263,550,0,0.4217391960003531,0,0.3273564719392831,0,0.4844526726227978,1,0.4249992174447016
34452,True,0.3920148045610621,0,25,0,0.303911596040376,0,0.3269228424126705,0,0.6647138041699592,1,0.5552645690166804
33188,False,0.3886827164189119,550,263,0,0.5782608039996469,0,0.6726435280607169,0,0.5155473273772022,1,0.5750007825552984
34457,True,0.7151368768519605,845,0,0,0.3653759993211611,0,0.5409452899940694,0,0.2599247482298535,1,0.4599158741136382
34451,False,0.7558199608417069,443,820,0,0.23489818079965996,0,0.2818939765515497,0,0.10185007580703853,1,0.610151148078764
